מזהה,"מק""ט",שם,תיאור קצר,מלאי,מחיר רגיל
2573,,"אבקת חלבון DYMATIZE - ISO 100 - 2.3KG, ארטיק וניל תפוז",,5,478
2574,MP01,אבקת חלבון מסל פארם-MUSCLE PHARM COMBAT,החלבון הרשמי של של ה-UFC. החלבון המושלם לספורטאים ולוחמים. החלבון החדש של מסל פארם בסדרת קומבט הוא החלבון האולטימטיבי לספורטאים ולוחמים איכותי וללא גלוטן. החלבון מכיל בנוסף גם חומצות אמינו המלוות ב-25 גרם חלבון לכול מנה.,0,
2575,,"אבקת חלבון מסל פארם-MUSCLE PHARM COMBAT - 1.8KG, חמאת בוטנים",,2,375
2577,DY02,אבקת חלבון מתקדמת - DYMATIZE ELITE GOURMET,"***מגיע אך ורק במשלוח אקספרס עד הבית ב-30 שח בלבד*** תשלובת חלבונים מתקדמת - דיימטייז עלית גורמה. מנצחת במבחני הטעם!! משלבת חלבונים בספיגה מהירה ואיטית לאספקת חלבון מייד לאחר האימון, בנוסף לחלבון בשחרור איטי שמזין את השריר כמה שעות לאחר האימון !!",5,
2578,,"אבקת חלבון מתקדמת - DYMATIZE ELITE GOURMET - 2.3KG, תות",,5,368
2579,,"אבקת חלבון מתקדמת - DYMATIZE ELITE GOURMET - 2.3KG, שוקולד שוויצרי",,5,368
2580,,"אבקת חלבון מתקדמת - DYMATIZE ELITE GOURMET - 2.3KG, קרם עוגיות",,5,368
2581,,"אבקת חלבון מתקדמת - DYMATIZE ELITE GOURMET - 2.3KG, קפוצ`ינו",,5,368
2582,,"אבקת חלבון מתקדמת - DYMATIZE ELITE GOURMET - 2.3KG, פרנץ` ונילה",,5,368
2583,DY01,אבקת חלבון עלית דיימטייז - Elite Whey Casein,***משלוח אקספרס חינם*** Dymatize Whey Elite המותג המוביל בעולם מגיע לישראל. חברת דיימטייז גאה להציג את אבקת החלבון Elite Whey Protein Isolate המכיל חלבון איזולאט איכותי ביותר המופק מחלבון מי גבינה בסטנדרטים הגבוהים והמחמירים ביותר. ,,
2584,,"אבקת חלבון עלית דיימטייז - Elite Whey Casein - 1.9KG, תות",,5,395
2585,,"אבקת חלבון עלית דיימטייז - Elite Whey Casein - 1.9KG, שוקולד",,5,395
2586,,"אבקת חלבון עלית דיימטייז - Elite Whey Casein - 1.9KG, קרם עוגיות",,5,395
2587,,"אבקת חלבון עלית דיימטייז - Elite Whey Casein - 1.9KG, קפה מוקה",,5,395
2588,,"אבקת חלבון עלית דיימטייז - Elite Whey Casein - 1.9KG, פינקולדה",,5,395
2589,,"אבקת חלבון עלית דיימטייז - Elite Whey Casein - 1.9KG, טופי קרמל",,5,395
2590,,"אבקת חלבון עלית דיימטייז - Elite Whey Casein - 1.9KG, וניל",,5,395
2591,,"אבקת חלבון עלית דיימטייז - Elite Whey Casein - 1.9KG, בננה",,5,395
2592,,אבקת חלבון עלית דיימטייז - Elite Whey isolate,Dymatize Whey Elite המותג המוביל בעולם מגיע לישראל. חברת דיימטייז גאה להציג את אבקת החלבון Elite Whey Protein Isolate המכיל חלבון איזולאט איכותי ביותר המופק מחלבון מי גבינה בסטנדרטים הגבוהים והמחמירים ביותר. ,,
2593,,"אבקת חלבון עלית דיימטייז - Elite Whey isolate - 2.3KG, תות",,5,388
2594,,"אבקת חלבון עלית דיימטייז - Elite Whey isolate - 2.3KG, שוקולד",,5,388
2595,,"אבקת חלבון עלית דיימטייז - Elite Whey isolate - 2.3KG, קרם עוגיות",,5,388
2596,,"אבקת חלבון עלית דיימטייז - Elite Whey isolate - 2.3KG, קפה מוקה",,5,388
2597,,"אבקת חלבון עלית דיימטייז - Elite Whey isolate - 2.3KG, פינקולדה",,5,388
2598,,"אבקת חלבון עלית דיימטייז - Elite Whey isolate - 2.3KG, טופי קרמל",,5,388
2599,,"אבקת חלבון עלית דיימטייז - Elite Whey isolate - 2.3KG, בננה",,5,388
2600,,"אבקת חלבון עלית דיימטייז - Elite Whey isolate - 2.3KG, ארטיק וניל תפוז",,5,388
2605,7.29E+12,אבקת סופר אפקט גלוטמין L GLUTAMINE,"אבקת הגלוטמין של SUPER EFFECT L GLUTAMINE היא אבקה של גלוטמין 100% טהור. הגלוטמין הטהור של סופר אפקט ממריץ את המערכת החיסונית,מזרז את את ההתאוששות מאימונים ומונע פירוק יתר של השריר. מגיע באריזות של 700 גרם.",,220
2606,DY05,אבקת עליה במסה - דיימטייז עלית מאס גיינר,אבקת העלייה במשקל המתקדמת בעולם! DYMATIZE- ELITE MASS GAINER דיימטייז עלית מאס גיינר במשקל 4.5 ק``ג בלעדי בתחום אבקות העלייה במשקל- 97% נקייה מלקטוז! 99% נקייה מסוכר! מגיע בטעם שוקולד.,1,
2607,,"אבקת עליה במסה - דיימטייז עלית מאס גיינר - 4.54KG, תות",,5,468
2608,,"אבקת עליה במסה - דיימטייז עלית מאס גיינר - 4.54KG, קרם עוגיות",,5,468
2609,,"אבקת עליה במסה - דיימטייז עלית מאס גיינר - 4.54KG, עוגיות שוקולד",,5,468
2610,,"אבקת עליה במסה - דיימטייז עלית מאס גיינר - 4.54KG, בננה",,5,468
2611,,"אבקת עליה במסה - דיימטייז עלית מאס גיינר - 4.54KG, ארטיק וניל תפוז",,5,468
2612,DY04,אבקת עלייה במסה - דיימטייז סופר מאס גיינר,DYMATIZE - SUPER MASS GAINER 5.5 KG דיימטייז סופר מאס גיינר- אבקת העלייה במשקל הנמכרת ביותר! תוכננה במיוחד לאנשים רזים המעונינים לעלות במסת שריר גבוהה תוך זמן קצר ביותר. אבקת עלייה במסה SUPER MASS GAINER מאושרת על ידי ה FDA- מנהל המזון והתרופות האמריקאי ומשרד הבריאות הישראלי !,0,
2619,DY06,אבקת קריאטין מיקרונייזד דיימטייז DYMATIZE - CREATINE MICRONIZED,אבקת קריאטין מיקרונייזד - CREATINE MICRONIZED אבקת קריאטין מונוהידרט מסונן לרמה מיקרונית לספיגה מהירה ואיכותית. בעל תקן האיכות הגבוה ביותר- מיוצר ברמה רפואית עם הפיקוח הקפדני ביותר!,,225
2620,7.05E+11,אבקת תערובת חומצות אמינו-DYMATIZE AMINO PRO,"אבקת תערובת חומצות אמינו המכילה,BCAA,קפאין וחומצות אמינו החיוניות לשריר. תערובת חומצות האמינו מיועדת לאנשים הרוצים לשפר את הביצועים באימון או להשתמש במוצר קדם אימון להתעורר באמצעות הקפאין ולהזין את השריר (טעם פירות לא מכיל קפאין)",0,
2621,,אבקת תערובת חומצות אמינו-DYMATIZE AMINO PRO - 270GR,,5,219
2630,,[Venum Bandage] באנדאז`ים ונום | חותלות של ונום,חותלות/תחבושות של ונום אכותיות מאד אורך - 2.5 מטר מגיע במספר צבעים.,,
2631,V0429BL,"[Venum Bandage] באנדאז`ים ונום | חותלות של ונום - 4 מטר, ירוק זוהר",,0,69
2632,V0430BL,"[Venum Bandage] באנדאז`ים ונום | חותלות של ונום - 2.5 מטר, ירוק זוהר",,10,49
2636,429,באנדאז`ים | תחבושות 4 מטר של ונום Venum | בנדג`ים,באנדאז`ים / תחבושות של ונום אכותיות מאד אורך - 4 מטר מגיע במספר צבעים.,,
2637,VENUM-0430-100,"באנדאז`ים | תחבושות 4 מטר של ונום Venum | בנדג`ים - 4 מטר, שחור",,0,69
2639,EU-VENUM-0429-Blue,"באנדאז`ים | תחבושות 4 מטר של ונום Venum | בנדג`ים - 4 מטר, כחול",,0,69
2640,EU-VENUM-0429-Red,"באנדאז`ים | תחבושות 4 מטר של ונום Venum | בנדג`ים - 4 מטר, אדום",,0,69
2641,92BK,בוקן גומי - BOKKEN Cold steel,"חרב איכותית מבית היוצר של Cold steel מסוג BOKKEN - סדרת האימונים. צבע שחור פחם. מימדים: ידית אחיזה 11.5 אינץ` , להב 30 אינץ` - סה``כ 41.5 אינץ`. משקל: 564 גרם.",5,299
2688,V0973,חבל קפיצה VENUM CHALLENGER,חדש חדש חדש!! חבל קפיצה מהיר במיוחד תוצרת ונום בעל ידיות אחיזה נוחות במיוחד לשיפור האחיזה,4,199
2689,EU-VENUM-0974,חבל קפיצה עם משקולות VENUM COMPETITOR,"חבל קפיצה עם משקולות VENUM COMPETITOR\n\nבעל ידיות אחיזה נוחות במיוחד עם אפשרות למשקל של 150 או 250 גרם בכל יד\n\nחבל מהיר במיוחד מבית היוצר של ונום",10,239
2691,123321,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ",חגורות ג`ודו וקראטה בצבעים אחידים או חגורות ביניים.,,
2693,H8,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 310 ס""מ, כחול",,100,60
2694,H1,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 310 ס""מ, לבן",,,60
2695,H5,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 280 ס״מ, לבן",,,50
2697,,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 280 ס״מ, כתום",,100,50
2698,,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 310 ס""מ, כתום",,,60
2699,,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 240 ס״מ, ירוק-כחול",,50,40
2701,,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 280 ס״מ, ירוק-כחול",,100,50
2702,H2,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 310 ס""מ, חום",,99,60
2703,H9,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 240 ס״מ, לבן",,100,40
2706,,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 240 ס״מ, שחור",,0,60
2707,,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 240 ס״מ, סגול",,,40
2708,,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 280 ס״מ, סגול",,100,50
2709,,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 310 ס""מ, סגול",,,60
2710,H7,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 240 ס״מ, ירוק",,100,40
2711,,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 280 ס״מ, ירוק",,99,50
2712,,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 310 ס""מ, ירוק",,,60
2713,,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 280 ס״מ, צהוב",,50,50
2714,,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 240 ס״מ, צהוב",,98,40
2715,,"חגורות ג`ודו | חגורות קראטה | חגורה 310-240 ס""מ - 310 ס""מ, צהוב",,,60
2716,BJJ BELT,חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt,חגורת ג`וג`יטסו אכותית מבית Tatami קיימת בכל הצבעים אכותית מאד!,4,
2717,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A4, שחור",,,
2718,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A4, סגול",,,
2719,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A4, לבן",,,
2720,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A4, כחול",,,
2721,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A4, חום",,,
2722,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A3, שחור",,,85
2723,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A3, סגול",,,85
2724,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A3, לבן",,,85
2725,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A3, כחול",,,85
2726,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A3, חום",,,85
2727,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A2, שחור",,,85
2728,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A2, סגול",,,85
2729,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A2, לבן",,,85
2730,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A2, כחול",,,85
2731,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A2, חום",,,85
2732,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A1, שחור",,,85
2733,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A1, סגול",,,85
2734,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A1, לבן",,,85
2735,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A1, כחול",,,85
2736,,"חגורת בוגרים ג`וג`יטסו Adult BJJ Rank Belt - A1, חום",,,85
2737,,חגורת בוגרים ג`וג`יטסו bjj belt venum,חגורת ג`וג`יטסו אכותית מבית venum קיימת בכל הצבעים אכותית מאד!,,
2738,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A4, שחור",,1,119
2739,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A4, סגול",,5,119
2740,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A4, לבן",,1,119
2741,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A4, כחול",,0,119
2742,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A4, חום",,4,119
2743,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A3, שחור",,2,119
2744,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A3, סגול",,0,119
2745,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A3, לבן",,3,119
2746,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A3, כחול",,0,119
2747,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A3, חום",,1,119
2748,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A2, שחור",,0,119
2749,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A2, סגול",,0,119
2750,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A2, לבן",,0,119
2751,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A2, כחול",,0,119
2752,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A2, חום",,1,119
2753,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A1, שחור",,0,119
2754,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A1, סגול",,0,119
2755,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A1, לבן",,0,119
2756,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A1, כחול",,0,119
2757,,"חגורת בוגרים ג`וג`יטסו bjj belt venum - A1, חום",,1,119
2758,002169BLK,חגורת בוגרים קראטה VENUM KARATE BELT,חגורות קראטה של ונום איכותיות במיוחד עשויות מ-100 אחוז כותנה ומאושרות על ידי פדרציית הקראטה העולמית.,,
2759,,"חגורת בוגרים קראטה VENUM KARATE BELT - 320 ס״מ, שחור",,5,149
2760,,"חגורת בוגרים קראטה VENUM KARATE BELT - 320 ס״מ, כחול",,5,149
2761,,"חגורת בוגרים קראטה VENUM KARATE BELT - 320 ס״מ, אדום",,5,149
2762,,"חגורת בוגרים קראטה VENUM KARATE BELT - 300 ס״מ, שחור",,5,149
2763,,"חגורת בוגרים קראטה VENUM KARATE BELT - 300 ס״מ, כחול",,5,149
2764,,"חגורת בוגרים קראטה VENUM KARATE BELT - 300 ס״מ, אדום",,1,149
2765,,"חגורת בוגרים קראטה VENUM KARATE BELT - 280 ס״מ, שחור",,5,149
2766,,"חגורת בוגרים קראטה VENUM KARATE BELT - 280 ס״מ, כחול",,5,149
2767,,"חגורת בוגרים קראטה VENUM KARATE BELT - 280 ס״מ, אדום",,5,149
2801,4501,חולצת Venum Never Surrender,חולצה של חברת Venum אכותית מאד 100% כותנה אכותית,0,
2802,,חולצת Venum Never Surrender - XL,,0,159
2803,,חולצת Venum Never Surrender - L,,0,159
2804,,חולצת Venum Never Surrender - M,,0,149
2805,,חולצת Venum Never Surrender - S,,0,159
2806,461,חולצת Venum MMA VT T- shirt שחור לבן,חולצה איכותית הנוצרה עבור יציאות מזדמנות ואימונים רציניים של חברת ונום.,5,
2810,V03730108L,חולצת Venum MMA VT T- shirt שחור לבן - L,,0,169
2876,405,"חולצת Venum ""Wand Fight Team"" Tshirt - Black","חולצה חדשה של חברת ונום האגדית עשויה 100% כותנה עדינה , נעשתה במיוחד לקבוצה של לוונדרלי סילבה",0,
2877,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - שחור, XL",,5,179
2878,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - שחור, L",,5,179
2879,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - שחור, M",,5,179
2880,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - שחור, S",,5,179
2881,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - שחור, XS",,5,179
2882,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - כחול, XL",,5,179
2883,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - כחול, L",,5,179
2884,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - כחול, M",,5,179
2885,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - כחול, S",,5,179
2886,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - כחול, XS",,5,179
2887,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - אפור, XL",,5,179
2888,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - אפור, L",,5,179
2889,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - אפור, M",,5,179
2890,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - אפור, S",,5,179
2891,,"חולצת Venum ""Wand Fight Team"" Tshirt - Black - אפור, XS",,5,179
2930,,חולצת Venum Boxing VT T- shirt בשחור וזהב,"הקולקציה החדשה של ונום ,\nחולצה מלאה בסגנון ללא תחרות ונוחות מירבית לאלו שלא מתפשרים על עצמם!",,
2933,V03731126L,חולצת Venum Boxing VT T- shirt בשחור וזהב - L,,0,169
2934,V03731126M,חולצת Venum Boxing VT T- shirt בשחור וזהב - M,,0,169
2949,VENUM-1327,חולצת VENUM CONTENDER COMPRESSION T SHIRT,"חולצת VENUM CONTENDER COMPRESSION בגזרה חדשה! דגם ייחודי ובלעדי של ונום באקסוור ישראל. חולצה בעלת טכנולוגיית בד נושם Dry Tech המשאיר את הגוף בעלת בד סטרץ`המאפשרת טווח תנועה מלא,מתאימה גם לאימונים וגם ליום יום.",5,
2950,,חולצת VENUM CONTENDER COMPRESSION T SHIRT - XL,,5,229
2951,,חולצת VENUM CONTENDER COMPRESSION T SHIRT - L,,5,229
2952,,חולצת VENUM CONTENDER COMPRESSION T SHIRT - M,,5,229
2953,,חולצת VENUM CONTENDER COMPRESSION T SHIRT - S,,5,229
2954,,חולצת VENUM CONTENDER COMPRESSION T SHIRT - XXXL,,5,229
2979,VENUM-2079,חולצת VENUM FUSION COMPRESSION | חולצת פיוזין | חולצת אימון ונום,"חולצת COMPRESSION מסדרת FUSION של ונום,בעלת טכנולוגיה להזרמת הדם המיועדת לשמירה על חום הגוף ולמניעת פציעות,בעלת בד נמתח המאפשר בד תנועה מלא וטכנולוגיה שמשאירה את הלוחם יבש ורענן.",5,
2980,,"חולצת VENUM FUSION COMPRESSION | חולצת פיוזין | חולצת אימון ונום - שחור, XL",,5,229
2981,,"חולצת VENUM FUSION COMPRESSION | חולצת פיוזין | חולצת אימון ונום - שחור, L",,5,229
2982,,"חולצת VENUM FUSION COMPRESSION | חולצת פיוזין | חולצת אימון ונום - שחור, M",,5,229
2983,,"חולצת VENUM FUSION COMPRESSION | חולצת פיוזין | חולצת אימון ונום - כחול, XL",,5,229
2984,,"חולצת VENUM FUSION COMPRESSION | חולצת פיוזין | חולצת אימון ונום - כחול, L",,5,229
2985,,"חולצת VENUM FUSION COMPRESSION | חולצת פיוזין | חולצת אימון ונום - כחול, M",,5,229
3092,845,חולצת VENUM SHOCKWAVE 2 T-SHIRT,"חולצת VENUM SHOCKWAVE 2 T-SHIRT - חולצת הUFC החדשה של ונום. 100% חומרים איכותיים , חולצה אלסטית מעט עשויה 95% כותנה ו5% ספנדקס. איכות הדפסה מעולה הנשמרת לאורך זמן.",0,
3226,1054,חולצת היאבוסה Hayabusa Tradition,"חולצת Hayabusa Tradition - חולצה חדשה של היאבוסה. 100% חומרים איכותיים , חולצה רכה עשויה 100% כותנה. איכות הדפסה מעולה הנשמרת לאורך זמן.",0,
3227,,חולצת היאבוסה Hayabusa Tradition - XXL,,5,159
3228,,חולצת היאבוסה Hayabusa Tradition - XL,,5,159
3229,,חולצת היאבוסה Hayabusa Tradition - L,,5,159
3230,,חולצת היאבוסה Hayabusa Tradition - M,,5,159
3231,,חולצת היאבוסה Hayabusa Tradition - S,,5,159
3244,VENUM-02656-002,חולצת טי-שירט Ablosute 2.0 T-SHIRT Adjustide Fit VENUM,חולצת ונום Ablosute 2.0 T-SHIRT של ונום - הקולקציה החדשה. 100% כותנה איכותית הדפסה איכותית,1,
3245,,חולצת טי-שירט Ablosute 2.0 T-SHIRT Adjustide Fit VENUM - XXL,,1,179
3246,,חולצת טי-שירט Ablosute 2.0 T-SHIRT Adjustide Fit VENUM - XL,,2,179
3247,,חולצת טי-שירט Ablosute 2.0 T-SHIRT Adjustide Fit VENUM - L,,3,179
3256,V0181,חותלות ג`ל Venum Gel Kontact Glove Wraps,"חותלות ג`ל אכותיות של חברת Venum פתרון מעולה ללבישה מהירה מיועדים לשבת מתחת לכפפות mma או איגרוף , נוחות מקסימלית והגנה מירבית.",23,150
3257,sewy1,אבקת חלבון  super effect - סופר אפקט,"<h3>מנת הגשה:</h3>\n<ul>\n 	<li>23 גרם חלבון מי גבינה טהור</li>\n 	<li>4 גרם גלוטמין</li>\n 	<li>5.2 גרם BCAA</li>\n 	<li>פחות מ 0.8 גרם שומן רווי</li>\n 	<li>ללא חומרים שאינם טבעיים</li>\n</ul>",,
3264,592,"חליפת BJJ GI ""ABSOLUTE"" - GOLD WEAVE - BLUE",חליפת ג`וג`יטסו מקצועית תוכננה ונבנתה במיוחד ללוחמים מקצועים לעבודה אינטנסיבית . משקל החליפה 650 גרם מבד עמיד בפני התקבצות תפירה משולשת לכל חלקי החליפה חליפה עמידה במיוחד פאצ`ים מעוצבים Absolute מעוצבים חליפה נוחה במיוחד שכל מקצוען ימליץ עליה חליפה בצבע כחול,5,
3265,,"חליפת BJJ GI ""ABSOLUTE"" - GOLD WEAVE - BLUE - A1 - 165cm",,5,799
3266,,"חליפת BJJ GI ""ABSOLUTE"" - GOLD WEAVE - BLUE - A1.5: 165cm to 170cm",,5,799
3267,,"חליפת BJJ GI ""ABSOLUTE"" - GOLD WEAVE - BLUE - A2: 170cm to 175cm",,5,799
3268,,"חליפת BJJ GI ""ABSOLUTE"" - GOLD WEAVE - BLUE - A2.5: 175cm to 180cm",,5,799
3269,,"חליפת BJJ GI ""ABSOLUTE"" - GOLD WEAVE - BLUE - A4: 190cm and above",,5,799
3270,,"חליפת BJJ GI ""ABSOLUTE"" - GOLD WEAVE - BLUE - A3: 185cm",,5,799
3271,,חליפת ג׳יוג׳יטסו ונום Venum Elite 3.0 BJJ Gi,חליפת ג`וג`יטסו מקצועית תוכננה ונבנתה במיוחד ללוחמים מקצועים לעבודה אינטנסיבית. משקל החליפה 450 גרם מבד עמיד בפני התכווצות תפירה משולשת לכל חלקי החליפה חליפה עמידה במיוחד. לחליפה פאצ`ים ונום מעוצבים. חליפה נוחה במיוחד שכל מקצוען ימליץ עליה.,,
3284,589,חליפת BJJ GI COMPETITOR - SINGLE WEAVE - BLACK,"חלפית הג`וג`יטסו הטובה בעולם של חברת Venum , דגמי 2012 חליפה עמידה מאד ונשמרת לאורך שנים! פרטים טכניים: מאד קלה מאד נוחה 100% כותנה ריקמה מלאה!",5,
3285,,חליפת BJJ GI COMPETITOR - SINGLE WEAVE - BLACK,,5,699
3286,,חליפת BJJ GI COMPETITOR - SINGLE WEAVE - BLACK,,5,699
3287,,חליפת BJJ GI COMPETITOR - SINGLE WEAVE - BLACK,,5,699
3288,,חליפת BJJ GI COMPETITOR - SINGLE WEAVE - BLACK,,5,699
3289,,חליפת BJJ GI COMPETITOR - SINGLE WEAVE - BLACK,,5,699
3290,,חליפת BJJ GI COMPETITOR - SINGLE WEAVE - BLACK,,5,699
3291,588,חליפת BJJ GI COMPETITOR - SINGLE WEAVE - BLUE,"חלפית הג`וג`יטסו הטובה בעולם של חברת Venum , דגמי 2012 חליפה עמידה מאד ונשמרת לאורך שנים! פרטים טכניים: מאד קלה מאד נוחה 100% כותנה ריקמה מלאה!",0,
3292,,חליפת BJJ GI COMPETITOR - SINGLE WEAVE - BLUE,,5,699
3293,,חליפת BJJ GI COMPETITOR - SINGLE WEAVE - BLUE,,5,699
